model,horizon_h,year_month,MAE,RMSE,R2,N
rf_stable,48,2024-08,4.6306916619953515,5.709789883694808,-0.30790654339552814,734
rf_stable,48,2024-09,2.117331016276806,2.43607749923058,-0.2793979689926618,693
rf_stable,48,2024-10,3.8157602573672977,5.001840034241583,-0.00811174462179487,663
rf_stable,48,2024-11,7.37538570224968,13.36464523173223,-0.6358840277708815,616
rf_stable,48,2024-12,3.7718240251621005,4.4049152740797375,-0.2815402242791425,569
rf_stable,72,2024-01,3.967556690171462,4.646695571261136,-0.20815881792113378,530
rf_stable,72,2024-02,4.699115322958576,5.828879012825003,-0.20658739354205546,560
rf_stable,72,2024-03,4.3085818064465355,5.351824645589618,-0.17645714327622253,633
rf_stable,72,2024-04,3.8688955770455995,4.661753151804351,-0.17440602475173494,646
rf_stable,72,2024-05,3.4205505258290967,4.244282149475619,-0.24777996865420548,643
rf_stable,72,2024-06,3.6178215311941497,4.3928003468507875,-0.45322130883638323,710
rf_stable,72,2024-07,4.5152375480185505,6.982403530572342,-0.2151807031049484,734
rf_stable,72,2024-08,4.678240062598236,5.764172386003158,-0.297828254919805,734
rf_stable,72,2024-09,2.134720174708172,2.4503636655221412,-0.35015654238849603,693
rf_stable,72,2024-10,3.912525634825363,5.13963162798027,-0.019599616703992684,662
rf_stable,72,2024-11,6.570145242791741,10.264257483359426,-0.4465940751822335,618
rf_stable,72,2024-12,3.9845280510031644,4.700349417501849,-0.20040976269590294,545
ridge_lag,1,2024-01,1.2640916698557894,1.9005884381787947,0.8306889898706844,571
ridge_lag,1,2024-02,1.4132364948810547,2.357369992698582,0.8111147638191885,579
ridge_lag,1,2024-03,1.3240164300248323,2.305757195560756,0.7954615512952907,631
ridge_lag,1,2024-04,1.4037185040468156,2.3318184717448207,0.6491544377826639,652
ridge_lag,1,2024-05,1.4085053853228768,2.2401767297049124,0.6822218898708756,656
ridge_lag,1,2024-06,1.1329489525921363,1.5891692787715803,0.8149210650980653,710
ridge_lag,1,2024-07,1.7253935447636064,3.7363628031980434,0.6490719998317249,734
ridge_lag,1,2024-08,1.205505738237257,1.8923524590271315,0.8681633376725861,734
ridge_lag,1,2024-09,0.7634370618280487,1.0814803057120472,0.7586318520243306,694
ridge_lag,1,2024-10,1.295925256648999,2.185116364689059,0.78922648334132,664
ridge_lag,1,2024-11,3.0948044276508395,11.193796217697944,0.15872498468526808,625
ridge_lag,1,2024-12,1.299082677710559,2.0926286500067115,0.7438936969590887,628
ridge_lag,6,2024-01,2.5539594332122078,3.3761453104632655,0.47276048629908385,566
ridge_lag,6,2024-02,2.752412708022044,4.074495379009854,0.4274049822935103,573
ridge_lag,6,2024-03,2.687919347191467,4.167188270608511,0.26918742548109864,626
ridge_lag,6,2024-04,2.452309527562725,3.388903703829978,0.29454546760196565,647
ridge_lag,6,2024-05,2.611790265176803,3.7711267636966963,0.08011448018422518,651
ridge_lag,6,2024-06,2.103602913995026,2.7679116805678534,0.4454541952018114,710
ridge_lag,6,2024-07,2.981877142602925,5.784505055066717,0.15463653870935068,734
ridge_lag,6,2024-08,2.325315624075255,3.2624753663953285,0.6090339666551954,734
ridge_lag,6,2024-09,1.4313550827582053,1.898939555206682,0.2528883331546464,694
ridge_lag,6,2024-10,2.432208099791174,3.6093566299647915,0.36121761955758547,660
ridge_lag,6,2024-11,5.334823747767512,15.048696098249549,-0.467952380871584,620
ridge_lag,6,2024-12,2.3343971185355388,3.272394993246307,0.3786842983535924,618
ridge_lag,12,2024-01,3.443487644727552,4.400296921838541,0.1574722153706546,560
ridge_lag,12,2024-02,3.3601643194318123,4.826632229049369,0.13847132891685632,567
ridge_lag,12,2024-03,3.261351580396837,4.887816074057594,-0.04861677883882276,620
ridge_lag,12,2024-04,2.9470555487998458,3.9062523374004954,0.14731454369831964,646
ridge_lag,12,2024-05,2.980391057614647,4.030862758921213,-0.1434170523944005,645
ridge_lag,12,2024-06,2.4718026983177492,3.1841282332615197,0.2776040693238906,710
ridge_lag,12,2024-07,3.508424499703568,6.363410184629341,-0.030051038844043587,734
ridge_lag,12,2024-08,3.1187220164812954,4.1822312391805285,0.3555520287339976,734
ridge_lag,12,2024-09,1.7994341514097412,2.3202753285530253,-0.08316476036277987,694
ridge_lag,12,2024-10,2.9057664434969728,4.046729355885282,0.28364110778862583,660
ridge_lag,12,2024-11,5.507806556905248,13.904370819379299,-0.29893451462499,619
ridge_lag,12,2024-12,2.5928868141873602,3.485415765390533,0.28196475621692374,606
ridge_lag,24,2024-01,4.048670592206457,4.939624774259748,-0.025038718194186238,548
ridge_lag,24,2024-02,3.9016342736474052,5.279423067605302,-0.09484381002285902,568
ridge_lag,24,2024-03,4.066836433467392,5.576570310045887,-0.2189870588599112,615
ridge_lag,24,2024-04,3.4540083589159885,4.29574295108646,-0.016116492415145345,645
ridge_lag,24,2024-05,3.1826245915139526,4.088210097502603,-0.2200952851242104,644
ridge_lag,24,2024-06,2.7277927617934035,3.3467417009627596,0.21561634441734312,710
ridge_lag,24,2024-07,3.944460136088319,6.678762927643573,-0.12576025143557001,734
ridge_lag,24,2024-08,3.8237404411910925,4.8237893010209865,0.10838690175020715,734
ridge_lag,24,2024-09,2.1427786439865897,2.543691678323712,-0.4001134010000822,694
ridge_lag,24,2024-10,3.5088082849729165,4.7470751713134565,0.10824035346871441,661
ridge_lag,24,2024-11,5.563399761438422,13.580920861633631,-0.3148384692224728,617
ridge_lag,24,2024-12,3.1175205651268927,4.083763231587401,0.03783970729767083,593
ridge_lag,48,2024-01,4.380495040998215,5.116183116111894,-0.1219744136136598,528
ridge_lag,48,2024-02,4.1490826621128996,5.271868474081545,-0.0010347708919937748,561
ridge_lag,48,2024-03,4.2952173355504195,5.501473573001219,-0.13232849073516184,632
ridge_lag,48,2024-04,3.9031664260393093,4.5918556259846675,-0.15272035497683278,645
ridge_lag,48,2024-05,3.186600724170759,3.893619024300928,-0.22236466695389923,644
ridge_lag,48,2024-06,3.3409475330603846,3.9710662992392396,-0.09254173451362613,710
